index,date,n-unique-addresses,miners-revenue,difficulty,cost-per-transaction,avg-block-size,n-transactions-per-block,market-price,trade-volume,n-transactions-excluding-popular,n-transactions,hash-rate,output-volume
0,2013-05-12,58799.0,521616.29,10076292.88,7.56,0.18,389.45,115.68,3248609.05,65428.0,65428.0,89.16,562565.7
1,2013-05-13,69374.0,542208.26,11187257.46,8.49,0.17,350.56,115.1,2368179.05,60998.0,60998.0,100.1,1122091.97
2,2013-05-14,69012.0,490866.12,11187257.46,6.98,0.2,431.62,117.99,3080309.47,66470.0,66470.0,81.75,784332.18
3,2013-05-15,68388.0,401574.21,11187257.46,6.26,0.22,455.11,112.0,9642025.12,64171.0,64171.0,81.75,752790.91
4,2013-05-16,68536.0,431451.05,11187257.46,7.05,0.2,413.23,114.22,13625174.73,61158.0,61158.0,80.64,723462.44
5,2013-05-17,61929.0,490901.81,11187257.46,8.23,0.17,364.79,117.41,4849307.74,58731.0,58731.0,89.54,853440.75
6,2013-05-18,55552.0,482993.88,11187257.46,8.82,0.17,350.44,123.32,10297629.42,52215.0,52215.0,81.75,748211.01
7,2013-05-19,51697.0,499066.54,11187257.46,10.3,0.14,306.54,123.3,2790550.26,47820.0,47820.0,85.64,423542.73
8,2013-05-20,57600.0,398718.88,11187257.46,8.17,0.18,378.46,121.99,2497811.12,48821.0,48821.0,76.74,540663.96
9,2013-05-21,67890.0,484764.27,11187257.46,8.71,0.17,357.23,122.02,2103682.15,53932.0,53942.0,82.86,674482.95
10,2013-05-22,61102.0,490813.62,11187257.46,9.38,0.16,333.27,122.7,1634982.41,51990.0,51990.0,92.32,738074.86
11,2013-05-23,68378.0,548198.02,11187257.46,9.09,0.16,343.61,123.0,2241317.07,59789.0,59789.0,89.54,712349.95
12,2013-05-24,68107.0,560565.06,11187257.46,9.88,0.16,327.82,126.7,2797850.22,55401.0,55401.0,90.09,759741.68
13,2013-05-25,53317.0,570425.25,12153411.71,10.89,0.15,310.79,133.49,6484573.1,51280.0,51280.0,103.91,735659.27
14,2013-05-26,53395.0,548644.81,12153411.71,13.4,0.13,249.83,131.99,2219378.85,40722.0,40722.0,97.27,388698.03
15,2013-05-27,59658.0,613984.68,12153411.71,11.57,0.15,299.76,133.5,3113915.54,52758.0,52758.0,103.91,666608.37
16,2013-05-28,61517.0,545731.97,12153411.71,9.34,0.17,361.2,129.76,6073220.86,57070.0,57070.0,97.87,705680.53
17,2013-05-29,64923.0,568010.48,12153411.71,10.09,0.16,327.74,129.0,2944146.36,55060.0,55060.0,101.5,793664.29
18,2013-05-30,63472.0,604999.86,12153411.71,10.44,0.16,320.82,132.3,2538895.21,57426.0,57426.0,102.1,629587.81
19,2013-05-31,61670.0,582560.64,12153411.71,10.68,0.15,310.55,128.88,3166356.06,54346.0,54346.0,112.37,678617.78
20,2013-06-01,55356.0,750633.18,12153411.71,13.24,0.12,254.98,129.02,2119774.09,54311.0,54311.0,119.62,485579.4
21,2013-06-02,51180.0,675526.41,12153411.71,13.25,0.12,250.99,129.3,818734.06,49947.0,49947.0,123.25,431875.34
22,2013-06-03,63443.0,745211.3,12153411.71,12.2,0.13,262.32,122.42,12369924.0,55874.0,55874.0,126.27,780446.24
